timestep,lambda H
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.7498084999999999
1.0,0.627092
1.25,0.5630995
1.5,0.5443165
1.75,0.531386
2.0,0.4712735
2.25,0.43152650000000004
2.5,0.4172145
2.75,0.402601
3.0,0.3895285
3.25,0.3811
3.5,0.3814755
3.75,0.37280199999999997
4.0,0.36697850000000004
4.25,0.368738
4.5,0.35806150000000003
4.75,0.342065
5.0,0.34001000000000003
5.25,0.34278200000000003
5.5,0.33465750000000005
5.75,0.333368
6.0,0.3367745
6.25,0.3332815
6.5,0.335386
6.75,0.3369135
7.0,0.341041
7.25,0.32856799999999997
7.5,0.32519
7.75,0.3151665
8.0,0.308688
8.25,0.30032400000000004
8.5,0.294081
8.75,0.2895645
9.0,0.28580249999999996
9.25,0.28403599999999996
9.5,0.28163499999999997
9.75,0.287613
10.0,0.2847155
10.25,0.28336249999999996
10.5,0.28148249999999997
10.75,0.2830685
11.0,0.2816745
11.25,0.28024099999999996
11.5,0.27845200000000003
11.75,0.2755825
12.0,0.2763985
12.25,0.279079
12.5,0.2796145
12.75,0.2818765
13.0,0.2855465
13.25,0.2876595
13.5,0.28745350000000003
13.75,0.2926495
14.0,0.291559
14.25,0.2937125
14.5,0.2929125
14.75,0.29217150000000003
15.0,0.29202649999999997
15.25,0.2922385
15.5,0.2940915
15.75,0.292769
16.0,0.2930715
16.25,0.293461
16.5,0.293788
16.75,0.293082
17.0,0.293967
17.25,0.293294
17.5,0.2930505
17.75,0.293245
18.0,0.293365
18.25,0.293118
18.5,0.2945405
18.75,0.2960025
19.0,0.29764
19.25,0.3005035
19.5,0.3010525
19.75,0.300489
20.0,0.301064
20.25,0.3013855
20.5,0.301431
20.75,0.3010525
21.0,0.3005685
21.25,0.301186
21.5,0.30133849999999995
21.75,0.301524
22.0,0.29985
22.25,0.29876650000000005
22.5,0.297712
22.75,0.2972315
23.0,0.296793
23.25,0.29717099999999996
23.5,0.2971705
23.75,0.2971495
24.0,0.296667
24.25,0.297116
24.5,0.297904
24.75,0.298016
25.0,0.29842199999999997
25.25,0.2984775
25.5,0.29852599999999996
25.75,0.298398
26.0,0.298258
26.25,0.29838299999999995
26.5,0.2993785
26.75,0.29986999999999997
27.0,0.2999505
27.25,0.300276
27.5,0.3004295
27.75,0.299968
28.0,0.29993000000000003
28.25,0.3003945
28.5,0.30071349999999997
28.75,0.3007385
29.0,0.3004615
29.25,0.3005635
29.5,0.3010505
29.75,0.3014865
30.0,0.301999
30.25,0.3021735
30.5,0.3028605
30.75,0.303325
31.0,0.3039155
31.25,0.30404299999999995
31.5,0.3041475
31.75,0.3044905
32.0,0.305452
32.25,0.30573300000000003
32.5,0.305918
32.75,0.3060715
33.0,0.3064115
33.25,0.307242
33.5,0.3072635
33.75,0.3075535
34.0,0.3078115
34.25,0.30815400000000004
34.5,0.30865699999999996
34.75,0.309089
35.0,0.3094425
35.25,0.30972900000000003
35.5,0.3100235
35.75,0.310654
36.0,0.3110315
36.25,0.311341
36.5,0.311504
36.75,0.311682
37.0,0.3119645
37.25,0.312249
37.5,0.31259650000000005
37.75,0.31272
38.0,0.313
38.25,0.313202
38.5,0.31341399999999997
38.75,0.313728
39.0,0.3140815
39.25,0.3143585
39.5,0.31467049999999996
39.75,0.31486400000000003
40.0,0.31522700000000003
40.25,0.315578
40.5,0.31593649999999995
40.75,0.3163785
41.0,0.3166145
41.25,0.316816
41.5,0.31695049999999997
41.75,0.3171175
42.0,0.31729700000000005
42.25,0.31748299999999996
42.5,0.31759799999999994
42.75,0.31775
43.0,0.317956
43.25,0.318224
43.5,0.318435
43.75,0.318681
44.0,0.3189335
44.25,0.319066
44.5,0.3192065
44.75,0.31934450000000003
45.0,0.319481
45.25,0.31958600000000004
45.5,0.31962250000000003
45.75,0.31969349999999996
46.0,0.3197265
46.25,0.31981950000000003
46.5,0.31987350000000003
46.75,0.3200025
47.0,0.32012050000000003
47.25,0.320213
47.5,0.320334
47.75,0.3203735
48.0,0.32040100000000005
48.25,0.320492
48.5,0.3206425
48.75,0.320712
49.0,0.3207815
49.25,0.320838
49.5,0.320905
49.75,0.3209065
50.0,0.3209375
50.25,0.32099900000000003
50.5,0.3210115
50.75,0.321079
51.0,0.3211495
51.25,0.32113499999999995
51.5,0.32117799999999996
51.75,0.32116199999999995
52.0,0.3211665
52.25,0.3212
52.5,0.3212785
52.75,0.32127
53.0,0.32131
53.25,0.321303
53.5,0.3213635
53.75,0.321376
54.0,0.32143350000000004
54.25,0.32148350000000003
54.5,0.3214955
54.75,0.321554
55.0,0.32156700000000005
55.25,0.3215875
55.5,0.32157349999999996
55.75,0.32161950000000006
56.0,0.321638
56.25,0.3216485
56.5,0.3216835
56.75,0.32169
57.0,0.3217145
57.25,0.32174200000000003
57.5,0.32175
57.75,0.3217875
58.0,0.321795
58.25,0.32179599999999997
58.5,0.3217975
58.75,0.3218145
59.0,0.32181550000000003
59.25,0.32185850000000005
59.5,0.32187999999999994
59.75,0.32188
60.0,0.3218955
60.25,0.3219025
60.5,0.321916
60.75,0.32190799999999997
61.0,0.3219035
61.25,0.3219135
61.5,0.32190050000000003
61.75,0.3219115
62.0,0.32191250000000005
62.25,0.3219095
62.5,0.3219195
62.75,0.32192350000000003
63.0,0.321924
63.25,0.32194500000000004
63.5,0.321951
63.75,0.32196
64.0,0.32194599999999995
64.25,0.3219385
64.5,0.3219305
64.75,0.321923
65.0,0.3219185
65.25,0.32190450000000004
65.5,0.32190850000000004
65.75,0.3219205
66.0,0.32192149999999997
66.25,0.32192750000000003
66.5,0.321933
66.75,0.3219265
67.0,0.32193
67.25,0.32192849999999995
67.5,0.321936
67.75,0.32195
68.0,0.32194849999999997
68.25,0.32195450000000003
68.5,0.32195799999999997
68.75,0.32195799999999997
69.0,0.32194999999999996
69.25,0.321952
69.5,0.32194350000000005
69.75,0.321944
70.0,0.321943
70.25,0.321953
70.5,0.32195799999999997
70.75,0.3219645
71.0,0.32197449999999994
71.25,0.321972
71.5,0.32197699999999996
71.75,0.32197549999999997
72.0,0.321981
72.25,0.32198150000000003
72.5,0.32198150000000003
72.75,0.32197800000000004
73.0,0.321975
73.25,0.3219735
73.5,0.3219735
73.75,0.3219735
74.0,0.32197200000000004
74.25,0.32197549999999997
74.5,0.32197549999999997
74.75,0.32197549999999997
75.0,0.321974
75.25,0.3219795
75.5,0.3219865
75.75,0.32198499999999997
76.0,0.321986
76.25,0.3219845
76.5,0.3219765
76.75,0.321983
77.0,0.32198649999999995
77.25,0.3219835
77.5,0.32198899999999997
77.75,0.32198899999999997
78.0,0.32198899999999997
78.25,0.321991
78.5,0.321991
78.75,0.32198800000000005
79.0,0.3219915
79.25,0.3219915
79.5,0.32199
79.75,0.3219845
80.0,0.3219845
80.25,0.3219845
80.5,0.321983
80.75,0.3219815
81.0,0.3219815
81.25,0.32198
81.5,0.32197849999999995
81.75,0.3219765
82.0,0.32197
82.25,0.32197
82.5,0.32197
82.75,0.32197
83.0,0.32196800000000003
83.25,0.32196800000000003
83.5,0.321965
83.75,0.321965
84.0,0.321965
84.25,0.3219685
84.5,0.3219685
84.75,0.3219685
85.0,0.321967
85.25,0.3219685
85.5,0.3219685
85.75,0.321967
86.0,0.321967
86.25,0.3219705
86.5,0.3219705
86.75,0.3219705
87.0,0.3219705
87.25,0.321974
87.5,0.321974
87.75,0.321974
88.0,0.3219725
88.25,0.3219705
88.5,0.3219705
88.75,0.3219725
89.0,0.321971
89.25,0.321971
89.5,0.321971
89.75,0.32197449999999994
90.0,0.32197600000000004
90.25,0.32197600000000004
90.5,0.32197600000000004
90.75,0.32197600000000004
91.0,0.32197600000000004
91.25,0.32197600000000004
91.5,0.32197600000000004
91.75,0.32197600000000004
92.0,0.32197600000000004
92.25,0.3219795
92.5,0.3219795
92.75,0.3219795
93.0,0.3219795
93.25,0.3219795
93.5,0.3219795
93.75,0.3219795
94.0,0.3219795
94.25,0.3219795
94.5,0.3219795
94.75,0.3219795
95.0,0.3219795
95.25,0.3219795
95.5,0.3219795
95.75,0.3219795
96.0,0.3219795
96.25,0.3219795
96.5,0.3219795
96.75,0.3219795
97.0,0.3219795
97.25,0.3219795
97.5,0.3219795
97.75,0.3219795
98.0,0.3219795
98.25,0.321978
98.5,0.321978
98.75,0.321978
99.0,0.321978
99.25,0.321978
99.5,0.321978
99.75,0.321978
100.0,0.321978
100.25,0.321978
100.5,0.321978
100.75,0.321978
101.0,0.321978
101.25,0.321978
101.5,0.321978
101.75,0.321978
102.0,0.321978
102.25,0.321978
102.5,0.321978
102.75,0.321978
103.0,0.321978
103.25,0.321978
103.5,0.321978
103.75,0.321978
104.0,0.321978
104.25,0.321978
104.5,0.321978
104.75,0.3219765
105.0,0.3219765
105.25,0.3219765
105.5,0.3219765
105.75,0.3219765
106.0,0.3219765
106.25,0.3219765
106.5,0.3219765
106.75,0.3219765
107.0,0.3219765
107.25,0.3219765
107.5,0.3219765
107.75,0.3219765
108.0,0.3219765
108.25,0.3219765
108.5,0.3219765
108.75,0.3219765
109.0,0.3219765
109.25,0.3219765
109.5,0.3219765
109.75,0.3219765
110.0,0.3219765
110.25,0.3219765
110.5,0.3219765
110.75,0.3219765
111.0,0.32198
111.25,0.32198
111.5,0.32198
111.75,0.32198
112.0,0.32198
112.25,0.32198
112.5,0.32198
112.75,0.32198
113.0,0.32198
113.25,0.32198
113.5,0.32198
113.75,0.32198
114.0,0.32198
114.25,0.32198
114.5,0.32198
114.75,0.32198
115.0,0.32198
115.25,0.32198
115.5,0.32198
115.75,0.32198
116.0,0.32198
116.25,0.32198
116.5,0.32198
116.75,0.32198
117.0,0.32198
117.25,0.32198
117.5,0.32198
117.75,0.321978
118.0,0.321978
118.25,0.321978
118.5,0.321978
118.75,0.321978
119.0,0.321978
119.25,0.321978
119.5,0.321978
119.75,0.321978
